Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,Chrome 79.0.3945.88,,,2020-04-05 20:38:23,2020-04-05 20:47:22,8m - 59.268s,PASSED
,,,,,,,
Test Cases/Account Management/Your Cart/Existing User - Checkout - Fully Charged,Chrome 79.0.3945.88,,,2020-04-05 20:38:29,2020-04-05 20:42:10,3m - 41.005s,PASSED
openBrowser(url),Chrome 79.0.3945.88,Open the VOX SUT,,2020-04-05 20:38:40,2020-04-05 20:40:21,1m - 40.990s,PASSED
"callTestCase(findTestCase(""Common Test Cases/Login""), [""username"":userAdmin, ""password"":passwordAdmin], STOP_ON_FAILURE)",Chrome 79.0.3945.88,Login,,2020-04-05 20:40:21,2020-04-05 20:40:43,22.149s,PASSED
"callTestCase(findTestCase(""Common Test Cases/Add an Item to Cart""), [:], STOP_ON_FAILURE)",Chrome 79.0.3945.88,Search items and add an item to cart,,2020-04-05 20:40:43,2020-04-05 20:41:30,46.839s,PASSED
"click(findTestObject(""AccountPage/linkYourCart""))",Chrome 79.0.3945.88,Go to My Cart,,2020-04-05 20:41:30,2020-04-05 20:41:35,5.336s,PASSED
"click(findTestObject(""AccountPage/btnCheckOut""))",Chrome 79.0.3945.88,Check Out Step 1,,2020-04-05 20:41:35,2020-04-05 20:41:39,4.308s,PASSED
"click(findTestObject(""AccountPage/btnContinue""))",Chrome 79.0.3945.88,Check Out - Shipping Address,,2020-04-05 20:41:39,2020-04-05 20:41:44,4.827s,PASSED
"click(findTestObject(""AccountPage/btnContinue""))",Chrome 79.0.3945.88,Check Out - Shipping Method,,2020-04-05 20:41:44,2020-04-05 20:41:50,5.381s,PASSED
"click(findTestObject(""AccountPage/btnOrder""))",Chrome 79.0.3945.88,Check Out - Billing Address,,2020-04-05 20:41:50,2020-04-05 20:41:54,4.854s,PASSED
"click(findTestObject(""AccountPage/chkPaymentMethod""))",Chrome 79.0.3945.88,Check Out - Payment,,2020-04-05 20:41:54,2020-04-05 20:41:56,1.521s,PASSED
"click(findTestObject(""AccountPage/btnProceedPayment""))",Chrome 79.0.3945.88,,,2020-04-05 20:41:56,2020-04-05 20:42:00,3.505s,PASSED
"click(findTestObject(""AccountPage/chkFullChargeOption""))",Chrome 79.0.3945.88,Check Out - Payment Fully Charged,,2020-04-05 20:42:00,2020-04-05 20:42:03,3.011s,PASSED
"click(findTestObject(""AccountPage/btnMakePayment""))",Chrome 79.0.3945.88,,,2020-04-05 20:42:03,2020-04-05 20:42:06,3.045s,PASSED
"verifyElementVisible(findTestObject(""AccountPage/imgCheckOutPirate""))",Chrome 79.0.3945.88,Verify Checkout Page,,2020-04-05 20:42:06,2020-04-05 20:42:09,3.649s,PASSED
Start tear down : tearDown,Chrome 79.0.3945.88,,,2020-04-05 20:42:09,2020-04-05 20:42:10,0.652s,PASSED
,,,,,,,
Test Cases/Category/Search with Criteria,Chrome 79.0.3945.88,,,2020-04-05 20:42:12,2020-04-05 20:42:53,41.606s,PASSED
rand = new java.util.Random(),Chrome 79.0.3945.88,,,2020-04-05 20:42:18,2020-04-05 20:42:18,0.006s,PASSED
index = rand.nextInt(Integer.valueOf(toString().trim())),Chrome 79.0.3945.88,,,2020-04-05 20:42:18,2020-04-05 20:42:18,0.008s,PASSED
chkFilter = new com.kms.katalon.core.testobject.TestObject(),Chrome 79.0.3945.88,,,2020-04-05 20:42:18,2020-04-05 20:42:18,0.017s,PASSED
filterName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:42:18,2020-04-05 20:42:18,0.009s,PASSED
filterValue = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:42:18,2020-04-05 20:42:18,0.007s,PASSED
apiID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:42:18,2020-04-05 20:42:18,0.005s,PASSED
openBrowser(url),Chrome 79.0.3945.88,Open the VOX SUT,,2020-04-05 20:42:18,2020-04-05 20:42:26,7.912s,PASSED
switch (category),Chrome 79.0.3945.88,"Go to Accessories, Groceries, Apparel page",,2020-04-05 20:42:26,2020-04-05 20:42:34,8.195s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterLabel(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:42:34,2020-04-05 20:42:34,0.098s,PASSED
filterValue = trim().toLowerCase(),Chrome 79.0.3945.88,,,2020-04-05 20:42:34,2020-04-05 20:42:36,1.913s,PASSED
"filterValue = filterValue.replace(""."", """")",Chrome 79.0.3945.88,,,2020-04-05 20:42:36,2020-04-05 20:42:36,0.055s,PASSED
"filterValue = filterValue.replace(""%"", """")",Chrome 79.0.3945.88,,,2020-04-05 20:42:36,2020-04-05 20:42:36,0.043s,PASSED
"filterValue = filterValue.replace("", "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:42:36,2020-04-05 20:42:36,0.216s,PASSED
"filterValue = filterValue.replace("" "", ""-"")",Chrome 79.0.3945.88,,,2020-04-05 20:42:36,2020-04-05 20:42:37,0.116s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterInput(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:42:37,2020-04-05 20:42:37,0.037s,PASSED
"filterName = getAttribute(chkFilter, ""name"").toLowerCase()",Chrome 79.0.3945.88,,,2020-04-05 20:42:37,2020-04-05 20:42:37,0.715s,PASSED
utilities.WebUtils.filterOneCriteria(chkFilter),Chrome 79.0.3945.88,Search with filter,,2020-04-05 20:42:37,2020-04-05 20:42:43,5.291s,PASSED
driver = getWebDriver(),Chrome 79.0.3945.88,,,2020-04-05 20:42:43,2020-04-05 20:42:43,0.040s,PASSED
"list = driver.findElements(By.cssSelector("".product-list__header .row .product-list .product-list-item-name""))",Chrome 79.0.3945.88,,,2020-04-05 20:42:43,2020-04-05 20:42:44,1.396s,PASSED
countList = list.size(),Chrome 79.0.3945.88,,,2020-04-05 20:42:44,2020-04-05 20:42:44,0.014s,PASSED
if (countList == 0),Chrome 79.0.3945.88,,,2020-04-05 20:42:44,2020-04-05 20:42:44,0.021s,PASSED
else,Chrome 79.0.3945.88,,,2020-04-05 20:42:44,2020-04-05 20:42:53,9.013s,PASSED
Start tear down : tearDown,Chrome 79.0.3945.88,,,2020-04-05 20:42:53,2020-04-05 20:42:53,0.104s,PASSED
,,,,,,,
